queue_weight,prediction_weight,pedestrian_weight,avg_wait_seconds,throughput,final_queue,max_queue,pedestrian_avg_wait_seconds,pedestrian_final_queue
1.0,2.0,0.1,468.8608815728909,42199,3424,6963,726.3001649257834,1351
1.0,2.0,0.05,469.29092782149354,42193,3430,6967,726.3001649257834,1351
1.0,2.0,0.15,469.39087740832474,42194,3429,6968,726.3001649257834,1351
1.0,0.0,0.0,469.60918834798235,42184,3439,6977,726.3001649257834,1351
2.0,0.0,0.0,469.60918834798235,42184,3439,6977,726.3001649257834,1351
3.0,0.0,0.0,469.60918834798235,42184,3439,6977,726.3001649257834,1351
5.0,0.0,0.0,469.60918834798235,42184,3439,6977,726.3001649257834,1351
1.0,2.0,0.0,469.70124717795846,42190,3433,6971,726.3001649257834,1351
5.0,0.5,0.0,469.8327597922101,42180,3443,6979,726.3001649257834,1351
5.0,1.0,0.0,470.06290686715033,42181,3442,6981,726.3001649257834,1351
3.0,0.5,0.0,470.12077241742105,42181,3442,6981,726.3001649257834,1351
5.0,0.5,0.05,470.1786379676917,42178,3445,6981,726.3001649257834,1351
5.0,0.0,0.05,470.1917892291169,42180,3443,6983,726.3001649257834,1351
3.0,0.0,0.05,470.2141463735397,42180,3443,6983,726.3001649257834,1351
3.0,0.5,0.1,470.32724722179603,42178,3445,6983,726.3001649257834,1351
5.0,0.0,0.1,470.32724722179603,42178,3445,6985,726.3001649257834,1351
5.0,0.5,0.1,470.4416631961949,42177,3446,6984,726.3001649257834,1351
5.0,0.0,0.15,470.4771716020428,42178,3445,6984,726.3001649257834,1351
5.0,1.0,0.05,470.51004975560573,42178,3445,6986,726.3001649257834,1351
3.0,0.5,0.15,470.5350371523135,42176,3447,6985,726.3001649257834,1351
3.0,0.0,0.1,470.696797667843,42175,3448,6987,726.3001649257834,1351
2.0,0.5,0.0,470.77570523639395,42172,3451,6988,726.3001649257834,1351
3.0,0.5,0.05,470.8874909585078,42173,3450,6989,726.3001649257834,1351
5.0,1.0,0.1,470.89275146307784,42172,3451,6989,726.3001649257834,1351
5.0,0.5,0.15,470.92036911207066,42175,3448,6989,726.3001649257834,1351
2.0,2.0,0.15,470.92036911207066,42177,3446,6988,726.3001649257834,1351
2.0,0.5,0.15,470.9506170133485,42174,3449,6989,726.3001649257834,1351
2.0,0.0,0.05,470.95324726563354,42174,3449,6990,726.3001649257834,1351
2.0,2.0,0.05,471.0426758433246,42177,3446,6988,726.3001649257834,1351
1.0,0.0,0.15,471.0492514740372,42171,3452,6991,726.3001649257834,1351
1.0,0.0,0.05,471.07160861846,42173,3450,6991,726.3001649257834,1351
2.0,0.0,0.1,471.07160861846,42173,3450,6991,726.3001649257834,1351
3.0,0.0,0.15,471.07160861846,42173,3450,6991,726.3001649257834,1351
3.0,1.0,0.0,471.0781842491726,42170,3453,6990,726.3001649257834,1351
3.0,1.0,0.05,471.0808145014576,42172,3451,6990,726.3001649257834,1351
2.0,0.0,0.15,471.09265063674025,42169,3454,6992,726.3001649257834,1351
1.0,0.0,0.1,471.1307892948732,42173,3450,6990,726.3001649257834,1351
2.0,2.0,0.0,471.15051618701096,42175,3448,6990,726.3001649257834,1351
1.0,1.0,0.0,471.15051618701096,42175,3448,6990,726.3001649257834,1351
1.0,1.0,0.05,471.1689279530062,42175,3448,6991,726.3001649257834,1351
2.0,2.0,0.1,471.1689279530062,42175,3448,6991,726.3001649257834,1351
5.0,1.0,0.15,471.1886548451439,42172,3451,6992,726.3001649257834,1351
1.0,1.0,0.1,471.21758762027923,42175,3448,6988,726.3001649257834,1351
2.0,0.5,0.1,471.2320540078469,42171,3452,6993,726.3001649257834,1351
3.0,1.0,0.1,471.28071367512,42170,3453,6992,726.3001649257834,1351
3.0,2.0,0.0,471.3070161979703,42173,3450,6992,726.3001649257834,1351
5.0,2.0,0.1,471.3122767025404,42170,3453,6992,726.3001649257834,1351
5.0,2.0,0.15,471.32674309010804,42167,3456,6992,726.3001649257834,1351
5.0,2.0,0.0,471.4727220919273,42167,3456,6994,726.3001649257834,1351
5.0,2.0,0.05,471.5042851193477,42168,3455,6994,726.3001649257834,1351
3.0,1.0,0.15,471.57661705718607,42168,3455,6996,726.3001649257834,1351
1.0,0.5,0.15,471.58450781404116,42168,3455,6994,726.3001649257834,1351
2.0,0.5,0.05,471.5871380663262,42167,3456,6995,726.3001649257834,1351
2.0,1.0,0.05,471.67656664401727,42165,3458,6997,726.3001649257834,1351
1.0,1.0,0.15,471.67656664401727,42169,3454,6993,726.3001649257834,1351
3.0,2.0,0.05,471.7054994191526,42166,3457,6996,726.3001649257834,1351
3.0,2.0,0.15,471.8370120334042,42165,3458,6997,726.3001649257834,1351
1.0,0.5,0.05,472.025075071784,42163,3460,7000,726.3001649257834,1351
2.0,1.0,0.1,472.025075071784,42163,3460,7000,726.3001649257834,1351
1.0,0.5,0.1,472.0895162527672,42164,3459,7000,726.3001649257834,1351
1.0,0.5,0.0,472.0947767573373,42163,3460,6999,726.3001649257834,1351
2.0,1.0,0.0,472.0947767573373,42163,3460,6999,726.3001649257834,1351
3.0,2.0,0.1,472.1684238213182,42161,3462,7001,726.3001649257834,1351
2.0,1.0,0.15,472.1776297043158,42164,3459,6999,726.3001649257834,1351
